Country,GDP per capita (USD),Life satisfaction
Argentina,23550.1,6.574
Armenia,11019.839,4.35
Bolivia,7730.638,5.89
Brazil,15749.512,6.983
Chile,24173.064,6.67
Colombia,13852.242,6.477
Costa Rica,18669.096,7.226
Ecuador,12078.475,5.975
El Salvador,7990.442,6.13
Haiti,3066.8503,4.518
Honduras,5177.415,4.788
Mexico,18887.568,7.187
Panama,27352.52,6.786
Peru,11877.079,5.824
Paraguay,11643.728,5.878
Uruguay,22419.043,6.485
Zambia,3450.0376,5.129
Vietnam,6098.539,5.36
United States,57213.27,7.119
Ukraine,12385.813,4.681
Tunisia,11118.925,4.739
Trinidad and Tobago,28796.559,6.168
Togo,1863.2819,2.839
Thailand,15854.132,6.455
Tanzania,2284.9617,3.781
Spain,35968.62,6.329
South Korea,37967.477,5.984
Russia,26057.156,5.716
Romania,23084.36,5.124
Portugal,30444.6,5.102
Poland,26649.578,5.791
Philippines,6973.6387,5.073
Moldova,10314.409,5.889
Malta,37230.305,6.302
Madagascar,1540.745,3.681
Liberia,1673.0559,4.571
Lebanon,16969.371,4.839
Laos,6193.3403,4.876
Kyrgyzstan,4722.086,5.286
Kenya,3980.5854,4.419
